"Timestamp","Vous êtes ? ","Quel âge avez-vous?","De quelle catégorie est votre permis?","Depuis combien de temps conduisez-vous?","En moyenne, combien de temps passez vous  en roulant pendant une journée ?","Prenez vous les dispositions nécessaires avant de prendre l’autoroute(moteur, vérification des pneus…)","Avez-vous déjà eu un accident récemment?","Quand a eu lieu l'accident ?","A quelle heure a eu l'accident ?","Responsabilité de l'accident :","Lors de votre accident, vous étiez :","Quelles ont été les conséquences suite à cet accident ?","Suite à votre accident, avez-vous eu besoin d'un arrêt de travail ou d'une interruption de votre scolarité  ?","D'après vous quelles sont les causes réelles de ces accidents","A votre avis, laquelle parmi les causes liées à l'infrastructure est le facteur prépondérant des accidents? ","Après l'accident , votre conduite : ","Vous collez le véhicule devant vous ou bien vous lui faites des appels de phares pour lui dire d’aller plus vite ou de changer de voie :","Vous ne vous souvenez plus où vous avez garé votre véhicule dans un grand parking :","Vous tournez à droite pour entrer sur une route principale et vous croisez le chemin d’un véhicule que vous n’aviez pas vu ou dont vous aviez mal estimé la vitesse :","Délibérément, vous ne respectez pas la limitation de vitesse tard dans la nuit ou très tôt le matin :","Vous  respectez pas le passage piéton :","Vous sous-estimez la vitesse d’un véhicule approchant lorsque vous dépassez :","A la présence d'un dispositif de contrôle(policier,radar...) , vous respectez la vitesse limite:","Vous pénétrez par une mauvaise voie dans un rond-point ou à l’approche d’une intersection :","Vous lisez mal les panneaux et vous prenez la mauvaise sortie à un rond-point : ","Vous vous trouvez impliqué(e) dans une « course non officielle » avec d’autres conducteurs :","   Vous ne respectez pas la limitation de vitesse lorsque la chaussée d'une autoroute comporte trois bandes  de circulation :","Est ce que vous appelez ou répondez aux appels téléphoniques pendant que vous conduisez?","Est ce que vous envoyez des SMS depuis votre téléphone portable en conduisant?"
"2018/04/10 9:05:17 AM GMT+1","Une femme","Plus de 42 ans","A","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Oui","Plus d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","","","S’est plutôt dégradée","Rarement","Jamais","Parfois","Jamais","Assez souvent","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Rarement","",""
"2018/04/10 9:47:02 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Fréquemment","Non","","","","","","","","","","Parfois","Parfois","Jamais","Assez souvent","Fréquemment","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Assez souvent","Jamais","Parfois","",""
"2018/04/10 9:55:37 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Jamais","Non","","","","","","","","","","Rarement","Fréquemment","Jamais","Jamais","Parfois","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Fréquemment","Jamais","Jamais","",""
"2018/04/10 10:07:16 AM GMT+1","Un homme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Fréquemment","Rarement","Jamais","Rarement","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Parfois","",""
"2018/04/10 10:44:15 AM GMT+1","Une femme","Entre 34 et 41 ans","A","Plus de 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Jamais","Jamais","Jamais","Jamais","Presque toujours","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Jamais","Jamais","Jamais","",""
"2018/04/10 10:50:02 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Rarement","Non","","","","","","","","","","Parfois","Rarement","Rarement","Parfois","Fréquemment","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Jamais","Jamais","Assez souvent","",""
"2018/04/10 11:24:13 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Fréquemment","Rarement","Parfois","Assez souvent","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Parfois","Rarement","",""
"2018/04/10 12:10:01 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Jamais","Non","","","","","","","","","","Jamais","Jamais","Jamais","Rarement","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Parfois","Jamais","Jamais","",""
"2018/04/10 12:18:16 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Parfois","Jamais","Parfois","Jamais","Presque toujours","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Assez souvent","",""
"2018/04/10 12:20:54 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Rarement","Oui","Moins d'un an","0h - 4h","50/50","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..);Manque de connaissance de la base de conduite","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Parfois","Jamais","Jamais","Parfois","Assez souvent","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Parfois","",""
"2018/04/10 12:21:56 PM GMT+1","Un homme","Entre 18 et 25 ans","A","Entre 3 et 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Fréquemment","Assez souvent","Jamais","Rarement","Assez souvent","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/10 12:53:52 PM GMT+1","Un homme","Entre 26 et 33 ans","A","Moins de  3 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Fréquemment","Jamais","Jamais","Parfois","Presque toujours","Presque toujours","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Rarement","Jamais","",""
"2018/04/10 1:00:38 PM GMT+1","Un homme","Entre 18 et 25 ans","A","Moins de  3 ans","Entre 0 et 30 minutes","Parfois","Non","","","","","","","","","","Jamais","Jamais","Jamais","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Jamais","",""
"2018/04/10 1:11:08 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Assez souvent","Oui","Moins d'un an","12h - 16h","Responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Manque de connaissance de la base de conduite","Facteur lié à la signalisation","N’a pas changée","Jamais","Jamais","Parfois","Fréquemment","Rarement","Fréquemment","Je ne respecte pas  la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Assez souvent","Parfois","Parfois","",""
"2018/04/10 1:11:13 PM GMT+1","Un homme","Plus de 42 ans","A","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Jamais","Rarement","Jamais","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/10 1:44:46 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Parfois","Parfois","Rarement","Parfois","Fréquemment","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Parfois","Jamais","",""
"2018/04/10 2:05:44 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Rarement","Non","","","","","","","","","","Parfois","Assez souvent","Parfois","Parfois","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Rarement","Rarement","",""
"2018/04/10 2:25:07 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Parfois","Fréquemment","Rarement","Assez souvent","Presque toujours","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Assez souvent","Assez souvent","",""
"2018/04/10 2:27:53 PM GMT+1","Une femme","Entre 26 et 33 ans","C","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Assez souvent","Rarement","Parfois","Jamais","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/10 2:33:50 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Assez souvent","Assez souvent","Parfois","Parfois","Parfois","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Jamais","Jamais","Rarement","",""
"2018/04/10 2:35:49 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Rarement","Non","","","","","","","","","","Rarement","Rarement","Rarement","Jamais","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/10 2:52:04 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Oui","Plus d'un an","12h - 16h","50/50","En voiture","Matérielles","","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Jamais","Rarement","Jamais","Rarement","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/10 3:23:03 PM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Jamais","Parfois","Rarement","Rarement","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/10 3:45:33 PM GMT+1","Un homme","Entre 34 et 41 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Parfois","Rarement","Rarement","Fréquemment","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Parfois","Rarement","Rarement","",""
"2018/04/10 3:46:53 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Fréquemment","Non","","","","","","","","","","Fréquemment","Jamais","Rarement","Rarement","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Assez souvent","Rarement","Jamais","Jamais","",""
"2018/04/10 3:50:37 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Parfois","Jamais","Rarement","Parfois","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/10 3:57:17 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Parfois","Jamais","Rarement","Parfois","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/10 4:35:43 PM GMT+1","Un homme","Plus de 42 ans","A","Plus de 10 ans","Entre 0 et 30 minutes","Assez souvent","Non","","","","","","","","","","Rarement","Parfois","Rarement","Rarement","Rarement","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Rarement","",""
"2018/04/10 4:47:24 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Fréquemment","Parfois","Parfois","Assez souvent","Presque toujours","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Parfois","",""
"2018/04/10 4:50:01 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Parfois","Rarement","Rarement","Parfois","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Jamais","",""
"2018/04/10 5:34:08 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Presque toujours","Oui","Moins d'un an","12h - 16h","Pas responsable","En voiture","Matérielles","","","le conducteur derriere moi (ne respectait pas la distance entre nous)","N’a pas changée","Rarement","Jamais","Jamais","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/10 6:31:16 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Fréquemment","Non","","","","","","","","","","Rarement","Rarement","Jamais","Jamais","Fréquemment","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Rarement","Rarement","",""
"2018/04/10 6:44:04 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Oui","Moins d'un an","0h - 4h","Responsable","En voiture","Matérielles","","J'était sous l'effet d'une drogue ou en état d'ivresse","Facteur lié à la signalisation;Facteur lié à l'éclairage","S’est plutôt améliorée","Assez souvent","Parfois","Rarement","Parfois","Presque toujours","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Jamais","Parfois","",""
"2018/04/10 7:27:48 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Parfois","Presque toujours","Rarement","Rarement","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Rarement","Jamais","",""
"2018/04/10 7:35:26 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Jamais","Non","","","","","","","","","","Jamais","Jamais","Jamais","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/10 8:41:03 PM GMT+1","Un homme","Entre 18 et 25 ans","A","Moins de  3 ans","Entre 30 et 60 minutes","Jamais","Non","","","","","","","","","","Presque toujours","Jamais","Rarement","Presque toujours","Fréquemment","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Rarement","Assez souvent","",""
"2018/04/10 10:13:59 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Fréquemment","Non","","","","","","","","","","Assez souvent","Parfois","Parfois","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Jamais","Jamais","Jamais","",""
"2018/04/10 11:30:02 PM GMT+1","Une femme","Entre 18 et 25 ans","A","Moins de  3 ans","Entre 0 et 30 minutes","Rarement","Non","","","","","","","","","","Fréquemment","Parfois","Rarement","Fréquemment","Assez souvent","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Parfois","Rarement","Jamais","Rarement","",""
"2018/04/10 11:49:02 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Rarement","Parfois","Jamais","Parfois","Presque toujours","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Rarement","",""
"2018/04/11 7:18:22 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Assez souvent","Non","","","","","","","","","","Parfois","Jamais","Rarement","Parfois","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Parfois","Rarement","Jamais","",""
"2018/04/11 8:32:38 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Rarement","Jamais","Jamais","Parfois","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Rarement","",""
"2018/04/11 8:49:33 AM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Fréquemment","Non","","","","","","","","","","Parfois","Jamais","Jamais","Rarement","Presque toujours","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Jamais","Jamais","Rarement","",""
"2018/04/11 9:36:33 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Rarement","Non","","","","","","","","","","Rarement","Rarement","Jamais","Parfois","Parfois","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Rarement","",""
"2018/04/11 9:40:47 AM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Parfois","Jamais","Rarement","Parfois","Assez souvent","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Rarement","",""
"2018/04/11 9:41:35 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Jamais","Non","","","","","","","","","","Presque toujours","Parfois","Parfois","Rarement","Jamais","Jamais","Je ne respecte pas  la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Parfois","Rarement","",""
"2018/04/11 9:41:57 AM GMT+1","Une femme","Entre 26 et 33 ans","A","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Jamais","Rarement","Rarement","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/11 9:54:29 AM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Parfois","Oui","Moins d'un an","16h - 20h","Responsable","En voiture","Matérielles","","J'était malade","Facteur lié à la signalisation;Travaux sur route non signalisés","S’est plutôt améliorée","Jamais","Jamais","Jamais","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/11 9:57:41 AM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Presque toujours","Oui","Plus d'un an","16h - 20h","Pas responsable","En voiture","Psychologiques;Matérielles","","Congestion de la route","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Jamais","Parfois","Rarement","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Parfois","Jamais","Jamais","",""
